URL,Match_Status,Last_Segment,3rd Party Link,Has Contextual Ad,Match domain,Merchant Name,NAPM?,Affiliate ID,dealspotr URL
https://refermate.com/stores/carter-s-promo-codes,Matched,carters.com,true,true,carters.com,Carter's,true,9590,https://dealspotr.com/promo-codes/carters.com
https://refermate.com/stores/cat-footwear-promo-codes,Not Matched,catfootwear.com,true,true,,Cat Footwear,false,,
https://refermate.com/stores/catherines-promo-codes,Matched,catherines.com,true,true,catherines.com,Catherines,true,1059,https://dealspotr.com/promo-codes/catherines.com
https://refermate.com/stores/cheap-caribbean-promo-codes,Matched,cheapcaribbean.com,true,true,cheapcaribbean.com,Cheap Caribbean,true,8658,https://dealspotr.com/promo-codes/cheapcaribbean.com
https://refermate.com/stores/cheaptickets-promo-codes,Matched,cheaptickets.com,true,true,cheaptickets.com,CheapTickets,true,7540,https://dealspotr.com/promo-codes/cheaptickets.com
https://refermate.com/stores/bebe-promo-codes,Matched,bebe.com,true,true,bebe.com,bebe,true,988,https://dealspotr.com/promo-codes/bebe.com
https://refermate.com/stores/american-apparel-promo-codes,Matched,americanapparel.com,true,true,americanapparel.com,American Apparel,false,,https://dealspotr.com/promo-codes/americanapparel.com
https://refermate.com/stores/american-airlines-promo-codes,Matched,aa.com,false,false,aa.com,American Airlines,false,,https://dealspotr.com/promo-codes/aa.com
https://refermate.com/stores/american-eagle-outfitters-promo-codes,Matched,ae.com,true,true,ae.com,American Eagle Outfitters,true,78777,https://dealspotr.com/promo-codes/ae.com
https://refermate.com/stores/lululemon-promo-codes,Not Matched,lululemon.com,true,true,,lululemon,false,,
https://refermate.com/stores/nordstrom-rack-promo-codes,Matched,nordstromrack.com,true,true,nordstromrack.com,Nordstrom Rack,true,26564,https://dealspotr.com/promo-codes/nordstromrack.com
https://refermate.com/stores/fame-and-partners-promo-codes,Matched,fameandpartners.com,true,true,fameandpartners.com,Fame and Partners,true,5503898,https://dealspotr.com/promo-codes/fameandpartners.com
https://refermate.com/stores/reformation-promo-codes,Matched,thereformation.com,true,true,thereformation.com,Reformation,true,65938,https://dealspotr.com/promo-codes/thereformation.com
https://refermate.com/stores/free-people-promo-codes,Matched,freepeople.com,true,true,freepeople.com,Free People,true,5343,https://dealspotr.com/promo-codes/freepeople.com
https://refermate.com/stores/urban-outfitters-promo-codes,Matched,urbanoutfitters.com,true,true,urbanoutfitters.com,Urban Outfitters,true,5275,https://dealspotr.com/promo-codes/urbanoutfitters.com
https://refermate.com/stores/venidress-promo-codes,Not Matched,venidress.com,true,true,,Venidress,false,,
